vendor,total_paid,share_of_total,concentration_flag
Township Of North Frontenac,2606550,1.26E-05,none
Vitalhub Corp,2602149,1.26E-05,none
Ontario Genomics Institute,2600000,1.26E-05,none
North Caribou Lake First Nation,2599497,1.26E-05,none
J W Macintosh Community Support Services,2593214,1.25E-05,none
Airbus Helicopters Canada Ltd.,2590739,1.25E-05,none
Municipality Of Northern Bruce Peninsula,2587369,1.25E-05,none
Township Of The Archipelago,2585218,1.25E-05,none
Rig Logistics Inc,2584684,1.25E-05,none
Township Of Oro-Medonte,2553159,1.23E-05,none
City Of Kenora,2552216,1.23E-05,none
Municipality Of Tweed,2547154,1.23E-05,none
Municipality Of Meaford,2542593,1.23E-05,none
Corporation Of The Township Of Larder Lake,2539591,1.23E-05,none
Skills For Change Of Metro Toronto,2536561,1.23E-05,none
Novexco Inc.,2532832,1.22E-05,none
Civiconnect Youth Community Engagement Organization,2530000,1.22E-05,none
A. J. Nagora Logging Ltd.,2515770,1.22E-05,none
Resolute Fp Canada Inc./Pf Résolu Canada Inc,2515481,1.22E-05,none
Woodgreen Red Door Family Shelter,2511233,1.21E-05,none
Centre De Reeducation Cor Jesu De Timmins Inc,2509146,1.21E-05,none
Family Services Of Peel,2508331,1.21E-05,none
Blade Filters Inc,2507628,1.21E-05,none
Compucom,2506485,1.21E-05,none
Corporation Of The Town Of Rainy River,2505151,1.21E-05,none
Evoq Architecture Inc. ,2504738,1.21E-05,none
Hatch Ltd,2501849,1.21E-05,none
St Leonard'S Community Support Prevention And Residential Services,2501397,1.21E-05,none
Francis De Sena Professional Corporation (O/A Francis De Sena Law Office),2501000,1.21E-05,none
Town Of Orangeville,2500909,1.21E-05,none
Gta Region Investment Attraction (O/A Toronto Global),2500000,1.21E-05,none
Municipality Of North Grenville,2499239,1.21E-05,none
Reliance Offshore Canada Inc,2494962,1.21E-05,none
Spark Power Corp,2488887,1.20E-05,none
Northwestern Ontario Metis Child & Family Services,2488566,1.20E-05,none
Family Services A La Famille Ottawa,2487148,1.20E-05,none
Cima Canada Inc,2485909,1.20E-05,none
Ogwiidachiwaning Sustainable Forest Management Inc.,2484444,1.20E-05,none
Food And Beverage Ontario,2484050,1.20E-05,none
Nokia Canada Inc,2482800,1.20E-05,none
Rideauwood Addiction And Family Services,2479330,1.20E-05,none
Township Of Addington Highlands,2477141,1.20E-05,none
Ibi Group,2473683,1.19E-05,none
Merrymount Children'S Centre,2472670,1.19E-05,none
Town Of Perth,2472502,1.19E-05,none
Helix Hearing Inc,2472048,1.19E-05,none
Community Care Northumberland,2465877,1.19E-05,none
Protexxa Inc.,2465001,1.19E-05,none
Temagami First Nation,2462358,1.19E-05,none
Township Of South Frontenac,2454144,1.19E-05,none
Fisher Scientific Company,2451988,1.18E-05,none
Shingwauk Teaching Lodge,2449506,1.18E-05,none
World Fuel Services Corp.,2441327,1.18E-05,none
Labourers International Union Of North America Local 1059 Training Fund Management Inc (Liuna),2436360,1.18E-05,none
Mission Services Of Hamilton Inc,2433649,1.18E-05,none
Maison D'Amitie,2432730,1.18E-05,none
Sandgate Women'S Shelter Of York Region Inc,2425397,1.17E-05,none
Family Transition Place,2423440,1.17E-05,none
Bearskin Lake First Nation,2420378,1.17E-05,none
Community Care For Central Hastings,2417551,1.17E-05,none
Lake Nipigon Forest Management Inc.,2416907,1.17E-05,none
Hwytec Construction Contracts Administration Inc,2416255,1.17E-05,none
Upper Thames River Conservation Authority,2413886,1.17E-05,none
Walker Construction Limited,2410236,1.16E-05,none
6524443 Canada Inc C/O Brookfield Properties M.C.,2408182,1.16E-05,none
Town Of Atikokan,2407605,1.16E-05,none
Clarion Nursing Home,2406115,1.16E-05,none
Town Of Aurora,2403857,1.16E-05,none
Ymca Of Hamilton/Burlington/Brantford,2402769,1.16E-05,none
Halton Region Conservation Authority,2401549,1.16E-05,none
Township Of Chapleau,2398370,1.16E-05,none
Consor Engineers Llc,2396792,1.16E-05,none
Wunnumin Lake First Nation,2394671,1.16E-05,none
Corporation Of The Town Of Gravenhurst,2390778,1.15E-05,none
Gateway Residential And Community Support Services Of Niagara Inc,2390560,1.15E-05,none
"Ontario Corporation # 1305626, Lakeridge Health",2385864,1.15E-05,none
Family Services Windsor-Essex,2384672,1.15E-05,none
Hope Place Centres,2376310,1.15E-05,none
Brunswick House First Nation,2375956,1.15E-05,none
Thurber Engineering Ltd,2375391,1.15E-05,none
Toronto Fire Services,2361951,1.14E-05,none
Mississauga First Nation,2352605,1.14E-05,none
Rosalie Hall,2350731,1.14E-05,none
Alzheimer Society Of Durham Region,2345284,1.13E-05,none
Municipality Of West Grey,2343694,1.13E-05,none
The Corporation Of The Town Of Milton,2341115,1.13E-05,none
Global Beverage & Logistics Centre Inc,2340045,1.13E-05,none
Salesforce Inc.,2338725,1.13E-05,none
26 Prince Andrew Place Gp Inc,2338102,1.13E-05,none
Township Of Muskoka Lakes,2336354,1.13E-05,none
Wesley Urban Ministries Inc,2334029,1.13E-05,none
Community Support Services Of Niagara Region (Cssn),2332197,1.13E-05,none
"Ontario Corporation # 260316, Canada Care Medical Inc.",2324742,1.12E-05,none
Mission Services Of London,2323920,1.12E-05,none
Wapekeka First Nation,2322002,1.12E-05,none
Ontario Electrical Industry Training Trust Fund,2320396,1.12E-05,none
Connections An Early Years Family Centre Inc,2320087,1.12E-05,none
Kairos Community Resource Centre,2319334,1.12E-05,none
Sistering,2319010,1.12E-05,none
Ottawa Network For Education/ Reseau D' Ottawa Pour L'Education,2315498,1.12E-05,none
Municipality Of Markstay-Warren,2314102,1.12E-05,none
Indigenous Diabetes Health Circle,2312807,1.12E-05,none
Lambton Elderly Outreach Inc,2310226,1.12E-05,none
Township Of Woolwich,2309678,1.12E-05,none
Parkdale Activity - Recreation Centre,2309541,1.12E-05,none
Teranet Enterprises Inc.,2304543,1.11E-05,none
Municipal Property Assessment Corporation,2300457,1.11E-05,none
Sas Institute (Canada) Inc,2300249,1.11E-05,none
Hornepayne Lumber Lp.,2298364,1.11E-05,none
St Michael'S Homes,2291896,1.11E-05,none
Health And Supportive Care Providers Oversight Authority,2277500,1.10E-05,none
Jewish Family Services Of Ottawa,2276959,1.10E-05,none
Chippewas Of Georgina Island,2271564,1.10E-05,none
Grand River Conservation Authority,2270684,1.10E-05,none
Ontario Colleges Library Service (Ocls),2270000,1.10E-05,none
William Osler Proresp Inc. / Ontario Corporation # 002082964,2266711,1.09E-05,none
Richview Community Care Services Corporation,2263871,1.09E-05,none
Sachigo Lake First Nation,2257353,1.09E-05,none
World Wide Electric Inc,2256464,1.09E-05,none
Neoprene Canada Inc,2256233,1.09E-05,none
Mental Health Program Services,2247936,1.09E-05,none
360Kids Support Services,2245735,1.08E-05,none
Blue Door Support Services,2245621,1.08E-05,none
Ymca Of Southwestern Ontario,2241012,1.08E-05,none
Callon Dietz Inc,2240388,1.08E-05,none
"Ontario Corporation # 1374120, R.T. Respiratory Services Inc.",2233633,1.08E-05,none
Nova Vita Women'S Shelter Incorporated,2231138,1.08E-05,none
Township Of Madawaska Valley,2229807,1.08E-05,none
Township Of Algonquin Highlands,2228871,1.08E-05,none
Ontario Lung Association,2228300,1.08E-05,none
Weldexperts Inc,2226508,1.08E-05,none
Municipality Of Central Elgin,2223348,1.07E-05,none
Tham Surveying Ltd,2223025,1.07E-05,none
Sudbury Finnish Rest Home Society Inc,2222260,1.07E-05,none
Mercury Disability Board,2220000,1.07E-05,none
Alus Canada Inc,2219305,1.07E-05,none
Town Of Marathon,2218324,1.07E-05,none
Serenity House Inc,2215694,1.07E-05,none
Ainley Graham & Associates Ltd,2214649,1.07E-05,none
The Corp Of The Town Of Pelham,2211217,1.07E-05,none
Aboriginal Sport And Wellness Council Of Ontario,2209563,1.07E-05,none
Ontario First Nations Economic Developers Association (Ofneda),2207424,1.07E-05,none
Participation House Toronto,2206309,1.07E-05,none
Hearst Forest Management Inc.,2205082,1.07E-05,none
Township Of Puslinch,2204948,1.07E-05,none
The Corporation Of The Township Of Plympton-Wyoming,2203687,1.06E-05,none
Mnp Digital Inc,2201842,1.06E-05,none
Noojmowin Teg Health Centre,2199440,1.06E-05,none
Mennonite New Life Centre Of Toronto,2198459,1.06E-05,none
Mnp Digital Inc.,2198420,1.06E-05,none
Brain Injury Association Of Durham Region,2196282,1.06E-05,none
Empowered Kids Ontario / Enfants Avenir Ontario,2194722,1.06E-05,none
Crisis Homes Inc,2191022,1.06E-05,none
Kbm Resources Group,2189349,1.06E-05,none
Y'S Owl Maclure Cooperative Centre Inc,2185702,1.06E-05,none
Township Of Springwater,2181610,1.05E-05,none
Procom Consultants Group Ltd,2180949,1.05E-05,none
1082753 Ontario Inc (O/A Riegling Brothers Truck & Equipment Sales),2180000,1.05E-05,none
Dentec Safety Specialists Inc,2177735,1.05E-05,none
Youth Habilitation Quinte Inc,2177508,1.05E-05,none
Aviva Canada Inc,2177416,1.05E-05,none
Hornepayne Power Inc.,2174586,1.05E-05,none
Alzheimer Society Of Sault Ste Marie & Algoma District,2172674,1.05E-05,none
Township Of Greater Madawaska,2172027,1.05E-05,none
Municipality Of Killarney,2171595,1.05E-05,none
Canada Bread Company Ltd,2171152,1.05E-05,none
Harmony Centre For Community Living,2170793,1.05E-05,none
Township Of Asphodel,2170430,1.05E-05,none
Dsv Solutions Inc. (O/A Vdi Healthcare Logistics),2167202,1.05E-05,none
Town Of Saugeen Shores,2163666,1.05E-05,none
Interval House Of Hamilton,2161776,1.04E-05,none
Docudavit Solutions Inc,2161172,1.04E-05,none
Batchewana First Nation Of Ojibways,2159954,1.04E-05,none
Upper Canada Leger Centre For Education And Training,2157620,1.04E-05,none
A&B Courier,2156406,1.04E-05,none
Crisis Centre North Bay,2154967,1.04E-05,none
Jupiter Aluminum Corporation,2153635,1.04E-05,none
Hamilton Program For Schizophrenia Inc,2149869,1.04E-05,none
College Sector Committee For Adult Upgrading,2148660,1.04E-05,none
Homeward Family Shelter,2147774,1.04E-05,none
Hiawatha First Nation,2145040,1.04E-05,none
Catholic Family Services Of Peel-Dufferin,2139481,1.03E-05,none
Bingwi Neyaashi Anishinaabek,2138691,1.03E-05,none
Municipality Of Huron East,2132772,1.03E-05,none
Claimspro Lp. (O/A Granite Claims Solutions),2130481,1.03E-05,none
Mackay Manor Inc,2130418,1.03E-05,none
Mustang Helicopters Inc.,2125754,1.03E-05,none
Zone 6 Regional Tourism Organization,2125301,1.03E-05,none
Municipality Of Centre Hastings,2125286,1.03E-05,none
Municipality Of Highlands East,2124264,1.03E-05,none
Municipality Of South Dundas,2121688,1.02E-05,none
Township Of Clearview,2121087,1.02E-05,none
International Brotherhood Of Electrical Workers Local 105 Home Association Inc,2117274,1.02E-05,none
Wayside House Of Hamilton,2117179,1.02E-05,none
Ernestine'S Women'S Shelter,2117086,1.02E-05,none
Municipality Of Marmora And Lake,2113349,1.02E-05,none
Evans De Vries Higgins Llp,2110400,1.02E-05,none
Algonquin Forestry Authority,2110100,1.02E-05,none
Jakes House For Autistic Children,2109794,1.02E-05,none
Township Of Minden Hills,2105248,1.02E-05,none
Society Of St Vincent De Paul Toronto Central Council,2104320,1.02E-05,none
Automotive Parts Manufacturers Association,2103584,1.02E-05,none
Alzheimer Society Waterloo Wellington,2103279,1.02E-05,none
Quad County Support Services,2102678,1.02E-05,none
2256032 Ontario Inc,2102322,1.02E-05,none
Marie Holdings Ltd,2102056,1.02E-05,none
Indigenous Advanced Education And Skills Coucil,2100000,1.01E-05,none
Whitefish River First Nation,2099212,1.01E-05,none
Waldale Manufacturing Ltd,2095760,1.01E-05,none
Corporation Of The Township Of Sables-Spanish Rivers,2095089,1.01E-05,none
Municipality Of Bayham,2094732,1.01E-05,none
North Simcoe Muskoka Hospice Palliative Care Network,2093098,1.01E-05,none
United Chiefs & Councils Of Mnidoo Mnising,2089726,1.01E-05,none
Alternatives Community Program Services (Peterborough) Inc,2088978,1.01E-05,none
Ari Financial Services Inc. T46163,2081810,1.01E-05,none
Dementia Society Of Ottawa And Renfrew County,2077982,1.00E-05,none
Optimus Sbr Inc (O/A Seg Management Consultants),2076476,1.00E-05,none
North Spirit Lake First Nation,2075535,1.00E-05,none
Survivors' Secretariat,2074750,1.00E-05,none
Town Of Niagara-On-The-Lake,2074013,1.00E-05,none
Refrigeration Workers Of Ontario U A Local 787,2072925,1.00E-05,none
Roth Iams Ltd,2071013,1.00E-05,none
New Frontiers Support Services - London Middlesex,2065239,9.98E-06,none
Mackinnon And Bowes Ltd,2065077,9.98E-06,none
Canadian Printing Resources Inc,2064992,9.98E-06,none
Paterson Group Inc,2063262,9.97E-06,none
Youturn-Youth Support Services/Services D'Appui A La Jeunesse,2063004,9.97E-06,none
The Corporation Of The Township Of Mcgarry,2058589,9.94E-06,none
Ontario Hospital Association,2054770,9.93E-06,none
Fair Chance Learning Inc,2053835,9.92E-06,none
Corbrook-Awakening Abilities,2052735,9.92E-06,none
Canadian National Railway Company,2050516,9.91E-06,none
Maison D'Hebergement Pour Femmes Francophones,2049730,9.90E-06,none
Hammer Heads Program,2048823,9.90E-06,none
Delta Family Resource Centre,2045327,9.88E-06,none
Buildwell Consulting Inc.,2045182,9.88E-06,none
Thorold Municipal Non-Profit Housing Corporation,2043249,9.87E-06,none
City Of Welland,2041111,9.86E-06,none
Township Of Hilliard,2035012,9.83E-06,none
Corp Of The Town Of Shelburne,2034454,9.83E-06,none
Peterborough Youth Services,2031741,9.81E-06,none
Oasis Centre Des Femmes Inc,2029970,9.81E-06,none
Pollard Distribution Inc,2024017,9.78E-06,none
"Ontario Corporation # 1559607, Homestead Oxygen & Medical Equipment Inc.",2021940,9.77E-06,none
L'Arche Arnprior,2020287,9.76E-06,none
Municipality Of Oliver Paipoonge,2018456,9.75E-06,none
Municipality Of Hastings Highlands,2017689,9.75E-06,none
Blake Cassels & Graydon Llp,2017472,9.75E-06,none
Community Care Peterborough,2015695,9.74E-06,none
Carahsoft Technology Corp,2013601,9.73E-06,none
Corporation Of The City Of Richmond Hill,2012794,9.72E-06,none
Merative Canada Holdco Unlimited Liability Company,2012781,9.72E-06,none
Township Of Laurentian Valley,2009980,9.71E-06,none
Capable Hands Inc,2009815,9.71E-06,none
L'Equipe D'Hygiene Mentale Pour Francophones De S D & G Inc,2003374,9.68E-06,none
Greenmantle Forest Inc.,2001222,9.67E-06,none
Fields Institute For Research In Math Sciences,2000000,9.66E-06,none
Ontario Cultural Attractions Fund,2000000,9.66E-06,none
Futurpreneur Canada,2000000,9.66E-06,none
Windsor Regional Proresp Inc. / Ontario Corporation # 1815659,1999479,9.66E-06,none
Minwaashin Lodge - Indigenous Women'S Support Centre (O/A Minwaashin Lodge-Aboriginal Women'S Support Centre),1990346,9.61E-06,none
(O/A: Mckesson Canada Corporation),1987145,9.60E-06,none
Town Of St Marys,1986075,9.59E-06,none
Native Canadian Centre Of Toronto,1981950,9.57E-06,none
Ymca Of The National Capital Region (O/A National Capital Region Ymca-Ywca),1978009,9.55E-06,none
Township Of Bonnechere Valley,1977576,9.55E-06,none
1089907 Ontario Inc (O/A Keewatin Contracting),1976679,9.55E-06,none
Medical Innovation Xchange,1975488,9.54E-06,none
Corporation Of The Town Of Englehart,1974350,9.54E-06,none
Sigfusson Northern Ltd,1973519,9.53E-06,none
Fernie Youth Services,1973237,9.53E-06,none
Ubisoft Toronto Inc,1972969,9.53E-06,none
North York Women'S Shelter Inc,1969892,9.52E-06,none
Keewaytinook Okimakanak Board Of Education,1964469,9.49E-06,none
Seniors Life Enhancement Centres,1962897,9.48E-06,none
Township Of Whitewater Region,1961069,9.47E-06,none
First Resource Management Group Inc,1960014,9.47E-06,none
2509752 Ontario Limited (O/A Derrick Johnstone Construction),1959673,9.47E-06,none
Priority Dispatch Corporation,1958936,9.46E-06,none
St Joseph'S Infirmary,1957800,9.46E-06,none
Gilmore Global Logistics Services Inc,1957631,9.46E-06,none
Les Centres D'Accueil Heritage,1957546,9.46E-06,none
Anishinaabeg Of Kabapikotawangag Resources Council Inc,1957115,9.45E-06,none
Alpine Helicopters Ltd.,1956775,9.45E-06,none
Township Of Lucan Biddulph,1955271,9.45E-06,none
Priority Healthcare Staffing Solutions Inc.,1953358,9.44E-06,none
Other Accounts ,1951522,9.43E-06,none
The Corporation Of The Municipality Of Southwest Middlesex,1950933,9.42E-06,none
Gamble Transportation Group Inc,1948641,9.41E-06,none
Compass Minerals Canada,1946199,9.40E-06,none
Hutton House Association For Adults With Disabilities,1945126,9.40E-06,none
Sra Staffing Solutions Ltd.,1941049,9.38E-06,none
The Corporation Of The Municipality Of Red Lake,1939581,9.37E-06,none
Chemise Empire Ltee,1939495,9.37E-06,none
Southlake Proresp Inc./Ontario Corporation Number 002455981,1938054,9.36E-06,none
Madison Community Services,1936953,9.36E-06,none
City Of Thorold,1936325,9.35E-06,none
2460918 Ontario Inc,1934463,9.34E-06,none
Algonquin Treaty Negotiations Funding Trust,1933844,9.34E-06,none
Township Of Rideau Lakes,1933622,9.34E-06,none
Interior Finishing Systems Training Centre,1930630,9.33E-06,none
Liveworkplay,1929476,9.32E-06,none
Maison Interlude House Inc,1927746,9.31E-06,none
Peel Cheshire Home (Brampton) Inc,1927614,9.31E-06,none
Regional Tourism Organization 7,1927563,9.31E-06,none
The Redwood Shelter,1921599,9.28E-06,none
"Ontario Corporation # 77912, Carruthers Drugs Limited",1917165,9.26E-06,none
2336845 Ontario Inc. (O/A Vasant Veerasuntharam),1916984,9.26E-06,none
Aids Committee Of Thunder Bay,1916287,9.26E-06,none
Investissements Gest-E Inc.,1915200,9.25E-06,none
"  18 Member At 106,143.75",1910588,9.23E-06,none
Shibogama First Nations Council,1910573,9.23E-06,none
"Ontario Corporation # 002468808, Align Brm Enterprises Inc.",1908411,9.22E-06,none
Waterloo Region Nurse Pracititioner Led Clinic,1907690,9.22E-06,none
Hospice Niagara,1904137,9.20E-06,none
Supported Training & Rehabilitation In Diverse Environments (Stride),1903084,9.19E-06,none
Toronto Council Fire Native Cultural Centre,1902732,9.19E-06,none
Roadpost Inc T46274,1902382,9.19E-06,none
Iisd Experimental Lakes Area,1900000,9.18E-06,none
The Corporation Of The City Of Cambridge,1898517,9.17E-06,none
Coding4Veterans,1898204,9.17E-06,none
4K Engineers Ltd,1898091,9.17E-06,none
Eastern Ottawa Resource Centre,1896697,9.16E-06,none
W.S. Morgan Construction Limited,1895083,9.15E-06,none
Anaplan Inc,1894500,9.15E-06,none
Rexall/Pharma Plus Pharmacies Ltd,1893944,9.15E-06,none
London Family Court Clinic Incorporated,1891650,9.14E-06,none
Branch 133 Legion Village Inc,1890465,9.13E-06,none
Township Of Perth East,1889621,9.13E-06,none
Canadian National Institute For The Blind (Cnib),1889404,9.13E-06,none
Atikameksheng Anishnawbek (Whitefish Lake First Nation),1887723,9.12E-06,none
Bioenterprise Canada Corp,1886054,9.11E-06,none
Town Of Innisfil,1884675,9.10E-06,none
Rogers Communications,1884445,9.10E-06,none
9487158 Canada Inc.,1878911,9.08E-06,none
Town Of Northeastern Manitoulin & The Islands,1877120,9.07E-06,none
Township Of North Huron,1876704,9.07E-06,none
Amazon,1876224,9.06E-06,none
Integrity Tool & Mold Inc,1874121,9.05E-06,none
Softchoice Corporation ,1872861,9.05E-06,none
Youth Opportunities Unlimited,1869875,9.03E-06,none
Lambton Proresp Inc. /Ontario Corporation # 876753,1869385,9.03E-06,none
Women'S Place (St Catharines & District) Inc,1867592,9.02E-06,none
Fast Track Community Centre For Skills Development & Training,1867375,9.02E-06,none
Transworld Systems Inc,1862723,9.00E-06,none
Lake Simcoe Region Conservation Authority,1861767,8.99E-06,none
Right Management Canada Inc,1859839,8.98E-06,none
Ontario Power Generation Inc,1859056,8.98E-06,none
Bda Inc.,1857892,8.97E-06,none
993699 Ontario Ltd (O/A Wholesale Utilities),1857038,8.97E-06,none
Banctec (Canada) Inc,1854714,8.96E-06,none
Township Of Alfred & Plantagenet,1853412,8.95E-06,none
Peer Support South East Ontario,1852794,8.95E-06,none
Wabigoon Lake Ojibway Nation,1850012,8.94E-06,none
Planview Inc,1846188,8.92E-06,none
Sedna Women'S Shelter & Support Services Inc,1844955,8.91E-06,none
Microsoft Canada Inc.,1835290,8.87E-06,none
Credit Valley Conservation Authority,1832332,8.85E-06,none
Burgess Engineering Inc,1832071,8.85E-06,none
Aliments Nortera Inc. Nortera Foods Inc.,1831629,8.85E-06,none
Skills Council Of Canada Inc,1830050,8.84E-06,none
10480797 Canada Inc,1827629,8.83E-06,none
Shore Consulting Group Inc,1826710,8.82E-06,none
Arauco Canada Ltd.,1824912,8.82E-06,none
The Reverend Tommy Beardy Memorial Wee Che He Wayo-Gamik Family Treatment Centre,1822846,8.81E-06,none
2859824 Ontario Limited,1821082,8.80E-06,none
Township Of North Dundas,1820139,8.79E-06,none
Colleges Ontario,1819500,8.79E-06,none
Sunnybrook Research Institute,1818780,8.79E-06,none
Public Trustee Province Of Ontario,1816965,8.78E-06,none
Durham Family Court Clinic,1815118,8.77E-06,none
Haldimand Norfolk Community Senior Support Services Inc,1812858,8.76E-06,none
1036332 Ontario Inc.,1811655,8.75E-06,none
Owen Sound Highway Maintenance Ltd,1811203,8.75E-06,none
Women'S Resources Of Kawartha Lakes,1807101,8.73E-06,none
Quickstart Early Years Partnership Inc,1806902,8.73E-06,none
Horizon Proresp Inc. / Ontario Corporation # 1162526,1806820,8.73E-06,none
New Beginnings Essex County,1804482,8.72E-06,none
Haldimand & Norfolk Women'S Services,1804137,8.72E-06,none
Dana Canada Corporation,1800000,8.70E-06,none
Oshawa Senior Citizens Centre,1798948,8.69E-06,none
Momiji Seniors Residence,1798283,8.69E-06,none
Community Support Centre Of Essex County,1798000,8.69E-06,none
Municipality Of Huron Shores,1792013,8.66E-06,none
Corporation Of The Township Of Severn,1788763,8.64E-06,none
Am Pain And Wellness Inc,1787401,8.63E-06,none
Right To Play International,1782241,8.61E-06,none
Jeffrey Goldstein (O/A Wheel Walker Inc),1778778,8.59E-06,none
Women'S Place Of South Niagara Inc,1778627,8.59E-06,none
Neskantaga First Nation,1778270,8.59E-06,none
Services Communautaires De Prescott-Russell,1777350,8.59E-06,none
Sudbury Young Women'S Christian Association,1774034,8.57E-06,none
Aspire For Higher Elite Basketball,1773039,8.56E-06,none
Jonluca Enterprises Inc,1772567,8.56E-06,none
Ari Financial Services Inc T46163,1772274,8.56E-06,none
First Step Women'S Shelter,1769605,8.55E-06,none
Weirfoulds Llp,1768141,8.54E-06,none
Ellwood Robinson Inc,1767726,8.54E-06,none
Lake Ridge Community Support Services,1757044,8.49E-06,none
Canada Post,1752783,8.47E-06,none
Sleep Management Group Ltd.,1752457,8.47E-06,none
"Corporation Of The United Counties Of Stormont, Dundas & Glengarry ",1749467,8.45E-06,none
1446705 Ontario Inc,1747606,8.44E-06,none
1232397 Ontario Ltd,1746942,8.44E-06,none
Dogwood Animal Sanctuary Inc,1745838,8.43E-06,none
Portage Ontario,1745132,8.43E-06,none
Hr Associates Incorporated,1744166,8.43E-06,none
Serpent River First Nation,1743362,8.42E-06,none
Township Of Lanark Highlands,1737655,8.39E-06,none
Auvenir Technologies Ulc,1733517,8.37E-06,none
Ontario Association Of Adult And Continuing Education School Board Administrators (Cesba),1732920,8.37E-06,none
Sault Ste Marie & District Group Health Association,1727801,8.35E-06,none
Total Credit Recovery Ltd,1726400,8.34E-06,none
The Corporation Of The Township Of Havelock-Belmont-Methuen,1726008,8.34E-06,none
Woundpedia,1723900,8.33E-06,none
Alzheimer Society Lanark Leeds Grenville,1721908,8.32E-06,none
Westover Treatment Centre,1720176,8.31E-06,none
Taykwa Tagamou Nation,1720104,8.31E-06,none
Bernadette Mccann House For Women Inc,1719801,8.31E-06,none
Hastings And Prince Edward Learning Foundation,1716608,8.29E-06,none
National Electrical Trade Council,1711800,8.27E-06,none
Lgi Solutions Santé Inc./Lgi Healthcare Solutions Inc.,1704259,8.23E-06,none
National Hearing Services Inc (O/A Connect Hearing),1703151,8.23E-06,none
Coalition Ontarienne De Formation Des Adultes,1699500,8.21E-06,none
Municipality Of Strathroy-Caradoc,1698743,8.21E-06,none
Township Of Norwich,1697063,8.20E-06,none
Triovest Realty Advisors Inc,1696263,8.19E-06,none
Alzheimer Society Of Timmins-Porcupine District Inc.,1694460,8.19E-06,none
Starcom Canada,1693750,8.18E-06,none
Niiwin Wendaanimok Limited Partnership,1693436,8.18E-06,none
Big Grassy River First Nation,1691231,8.17E-06,none
Ondaadiziwin Forest Management Inc.,1685272,8.14E-06,none
Mornington Communications Co-Operative Ltd,1681088,8.12E-06,none
Ontario Masonry Training Centre,1680552,8.12E-06,none
Firan Technology Group Corporation,1680079,8.12E-06,none
"Compass, Boussole, Akii-Izhinoogan Mental Health, Developmental And Community Services For Children, Youth And Families",1679651,8.11E-06,none
Bausch Health Canada Inc,1678395,8.11E-06,none
Township Of West Lincoln,1674999,8.09E-06,none
Township Of Otonabee-South Monaghan,1673890,8.09E-06,none
Pni Contracting Ltd,1673505,8.08E-06,none
Point In Time Centre For Children Youth And Parents,1665259,8.04E-06,none
Geotab Inc,1663006,8.03E-06,none
Hr Associates Inc.,1661909,8.03E-06,none
Law Firm Of Aminah Rafique,1661339,8.03E-06,none
Women'S House Serving Bruce & Grey,1660904,8.02E-06,none
Provincial Road Markings Inc,1659110,8.01E-06,none
Action Medical Home Health (Woodstock) Inc.,1658060,8.01E-06,none
St. Joseph'S Proresp Inc./2045897 Ontario Corporation Number,1655324,8.00E-06,none
South Asian Autism Awareness Centre,1652981,7.98E-06,none
Aids Committee Of Cambridge Kitchener Waterloo & Area,1651555,7.98E-06,none
Alzheimer Society Of Sarnia-Lambton,1650548,7.97E-06,none
Township Of Cramahe,1648627,7.96E-06,none
Sioux-Hudson Literacy Council,1646242,7.95E-06,none
T W Marsh Well Drilling & Servicing Inc.,1638708,7.92E-06,none
Kingston Interval House,1637437,7.91E-06,none
Municipality Of Central Manitoulin,1635619,7.90E-06,none
Ne-Chee Friendship Centre,1635099,7.90E-06,none
Day Communications Group Inc,1633025,7.89E-06,none
Toronto Zenith Contracting Ltd,1631949,7.88E-06,none
The Ontario Community Centre For The Deaf Inc,1629451,7.87E-06,none
Township Of Schreiber,1627997,7.86E-06,none
Komutel Inc,1627488,7.86E-06,none
Essex Region Conservation Authority,1627359,7.86E-06,none
T G Carroll Cartage Ltd,1622949,7.84E-06,none
Expedition Helicopters Inc.,1620924,7.83E-06,none
Noveen Engineering Inc,1619846,7.82E-06,none
Traffic Survey Analysis Inc,1616761,7.81E-06,none
Hospice Of Windsor & Essex County Inc,1616555,7.81E-06,none
Nature Conservancy Of Canada,1615468,7.80E-06,none
Township Of Stirling-Rawdon,1614549,7.80E-06,none
Aphasia Institute,1608685,7.77E-06,none
Softchoice Corp,1608324,7.77E-06,none
Dr Roz'S Healing Place,1608260,7.77E-06,none
Municipality Of Dutton-Dunwich,1601372,7.74E-06,none
Women & Children'S Shelter (Barrie),1601244,7.73E-06,none
Compass Community Services,1601042,7.73E-06,none
Township Of Wellesley,1600922,7.73E-06,none
Glenn Douglas Duclos & Rebecca Duclos,1600000,7.73E-06,none
Ownbackup Inc,1594991,7.70E-06,none
Care Centre For Internationally Educated Nurses,1594273,7.70E-06,none
Township Of Frontenac Islands,1586704,7.66E-06,none
The Oaks Revitalization Association,1586694,7.66E-06,none
Township Of Southgate,1586448,7.66E-06,none
1159385 Ontario Limited (O/A Tim Hortons),1584376,7.65E-06,none
Don Mills Surgical Unit Ltd,1580000,7.63E-06,none
The Ajax-Pickering Women'S Centre Inc,1579659,7.63E-06,none
Wasauksing First Nation,1576017,7.61E-06,none
Township Of Georgian Bay,1574993,7.61E-06,none
Corporation Of The City Of Kitchener (O/A City Of Kitchener),1574962,7.61E-06,none
Life Technologies Inc,1574940,7.61E-06,none
